id,business_name,instagram_handle,instagram_url,municipality,address_or_area,category,verification_status,verification_note,source_urls_text
1,BRGym Personal Training,a.s.d._brgym,https://www.instagram.com/a.s.d._brgym/,Aci Bonaccorsi,"Via Giacomo Puccini, 33",centro personal training,verificato,"Profilo ufficiale confermato tramite ricerca web, indirizzo in Via G. Puccini 33, Aci Bonaccorsi.",https://www.instagram.com/a.s.d._brgym/ | https://swimliv.com/swim-schools/italy/aci-santantonio/a-s-d-brgym
2,Butterfly Circus SSD,butterflycircusssd,https://www.instagram.com/butterflycircusssd/,Aci Bonaccorsi,Via Battiati 44/B,palestra,verificato,"Profilo ufficiale confermato tramite ricerca web e Facebook, indirizzo in Via Battiati 44/B, Aci Bonaccorsi.",https://www.instagram.com/butterflycircusssd/ | https://www.facebook.com/p/Butterfly-Circus-100045146748505/
3,Palestra SD Fitness,palestra_sd_fitness_asd,https://www.instagram.com/palestra_sd_fitness_asd/,Aci Bonaccorsi,Via Stadio 14,palestra,verificato,"Profilo ufficiale confermato tramite ricerca web e Facebook, indirizzo in Via Stadio 14, Aci Bonaccorsi.",https://www.instagram.com/palestra_sd_fitness_asd/ | https://www.facebook.com/61575086602720/posts/%EF%B8%8F-palestra-sd-fitness-%EF%B8%8F-ci-trovi-in-via-stadio-14-aci-bonaccorsi-328-314-0616/122136715304836220/
4,4 Spa Sport,4spasport,https://www.instagram.com/4spasport/,Aci Castello,Via Nazionale 114,palestra,verificato,"Profilo ufficiale della palestra del 4 Spa Hotel, confermato indirizzo ad Aci Castello.",https://www.instagram.com/4spasport/ | https://www.4spa.it/en/gym
5,CrossFit Etna,crossfitetna,https://www.instagram.com/crossfitetna/,Aci Castello,Aci Castello,box crossfit,verificato,Box CrossFit confermato ad Aci Castello tramite post Instagram.,https://www.instagram.com/crossfitetna/ | https://www.crossfit.com/gym/12746/crossfit-etna
6,Ellevu Fit&events,ellevufitandevents,https://www.instagram.com/ellevufitandevents/,Aci Castello,"Via Napoli, Cannizzaro",centro fitness,verificato,"Centro fitness situato a Cannizzaro, frazione di Aci Castello, confermato tramite bio Instagram.",https://www.instagram.com/ellevufitandevents/
7,PTLAB Catania,ptlab.catania,https://www.instagram.com/ptlab.catania/,Aci Castello,Via Carlo Gemmellaro 20,centro personal training,verificato,"Studio di personal training situato ad Aci Castello, confermato tramite bio Instagram.",https://www.instagram.com/ptlab.catania/
8,Synthesis Club,synthesis_club,https://www.instagram.com/synthesis_club/,Aci Castello,Via Napoli,palestra,verificato,"Profilo Instagram ufficiale trovato, confermato indirizzo ad Aci Castello.",https://www.instagram.com/synthesis_club/
9,A.S.D. Winner's Fitness,winnersfitness,https://www.instagram.com/winnersfitness/,Aci Catena,"Via Ulisse, 77",palestra,verificato,"Profilo Instagram ufficiale confermato, indirizzo a Aci Catena.",https://www.instagram.com/winnersfitness/ | https://www.facebook.com/winnersfitness.vampolieri/ | https://www.virgilio.it/italia/aci-catena/cat/PALESTRE_E_FITNESS.html
10,Asd Vera Academy,asd_veraacademy,https://www.instagram.com/asd_veraacademy/,Aci Catena,"Via Turi D'Agostino, 72",danza e fitness,verificato,"Profilo Instagram ufficiale confermato, scuola di danza e fitness a Aci Catena.",https://www.instagram.com/asd_veraacademy/
11,ATZ Fitness Club,atzfitnessclub,https://www.instagram.com/atzfitnessclub/,Aci Catena,"Via Luciano Tomasello, 6",palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Aci Catena.",https://www.instagram.com/atzfitnessclub/ | https://www.facebook.com/atzfitnessclub/ | https://fitnessfast.it/atz-fitness-club-via-luciano-tomasello-aci-catena/
12,Cobra Lab,cobra.lab,https://www.instagram.com/cobra.lab/,Aci Catena,"Via Alfredo Rampi, 18",functional training e pilates,verificato,"Profilo Instagram ufficiale confermato, palestra/danza a Aci Catena.",https://www.instagram.com/cobra.lab/ | https://www.facebook.com/CobraLab22/
13,Palestra Vampolieri,palestravampolieri,https://www.instagram.com/palestravampolieri/,Aci Catena,Vampolieri,palestra,verificato,"Profilo Instagram ufficiale confermato, palestra a Vampolieri, Aci Catena.",https://www.instagram.com/palestravampolieri/
14,Asd Olimpia fitness center,_olimpia_fitness_,https://www.instagram.com/_olimpia_fitness_/,Aci Sant'Antonio,Via G.De Felice n 8,palestra,verificato,"Profilo Instagram verificato, palestra ad Aci Sant'Antonio.",https://www.instagram.com/_olimpia_fitness_/ | https://www.facebook.com/lucaallegraolimpiafitness/
15,Athena Cross Training,athena_crosstraining,https://www.instagram.com/athena_crosstraining/,Aci Sant'Antonio,"Via Alexander Fleming, 5",crossfit,verificato,"Profilo Instagram verificato, crossfit ad Aci Sant'Antonio.",https://www.instagram.com/athena_crosstraining/ | https://www.fresha.com/lvp/athena-cross-training-via-alexander-fleming-EvRB8e
16,Fitstyle,a.c.n._fitstyle_,https://www.instagram.com/a.c.n._fitstyle_/,Aci Sant'Antonio,Via G. Matteotti 39,palestra,verificato,"Profilo Instagram verificato, palestra ad Aci Sant'Antonio.",https://www.instagram.com/a.c.n._fitstyle_/ | https://www.facebook.com/acnfitstyle/
